ID,Type,SKU,Name,Published,"Is featured?","Visibility in catalog","Short description",Description,"Date sale price starts","Date sale price ends","Tax status","Tax class","In stock?",Stock,"Low stock amount","Backorders allowed?","Sold individually?","Weight (kg)","Length (cm)","Width (cm)","Height (cm)","Allow customer reviews?","Purchase note","Sale price","Regular price",Categories,Tags,"Shipping class",Images,"Download limit","Download expiry days",Parent,"Grouped products",Upsells,Cross-sells,"External URL","Button text",Position,"Attribute 1 name","Attribute 1 value(s)","Attribute 1 visible","Attribute 1 global","Attribute 1 default","Attribute 2 name","Attribute 2 value(s)","Attribute 2 visible","Attribute 2 global","Attribute 2 default","Meta: inline_featured_image","Meta: rs_page_bg_color"
1557,variable,,"Plus Size Sequin Evening Dress with Side Split",1,0,visible,"This product type lets you add variations to the same product to create a complex, variable product. Each variation of the product has its own price, SKU, available stock, etc. eg: A shirt or t-shirt with different sizes and different colors.\n\nWhile creating the product, you can select the ‘Variable product’ option from the drop-down. To be able to create different variations, you will have to set up attributes and define values to each of them. You can use different attributes and values to create variations. After that, you can manually create available variations or create all possible variations in one go. You can update individual details for each variation, after all required variations are created.\n\n&nbsp;","[elementor-template id=""391""]",,,taxable,,1,,,0,0,,,,,1,,,,"Women Dress","dress, fashion, theme, women, woocommerce",,"https://juliette.novaworks.net/wp-content/uploads/2021/04/dress-1-scaled.jpg, https://juliette.novaworks.net/wp-content/uploads/2021/04/dress-1-scaled.jpg, https://juliette.novaworks.net/wp-content/uploads/2021/04/dress-2-scaled.jpg, https://juliette.novaworks.net/wp-content/uploads/2021/04/dress-3-1-scaled.jpg, https://juliette.novaworks.net/wp-content/uploads/2021/04/dress-3-scaled.jpg, https://juliette.novaworks.net/wp-content/uploads/2021/04/dress-4-1-scaled.jpg",,,,,,,,,30,Color,"Black, Blue, White, Yellow",1,1,Black,Size,"Large, Medium, Small",1,1,Large,0,
1585,variable,,"Women's V Neck Multi Color Irregular Hem Prom Dress",1,0,visible,"This product type lets you add variations to the same product to create a complex, variable product. Each variation of the product has its own price, SKU, available stock, etc. eg: A shirt or t-shirt with different sizes and different colors.\n\nWhile creating the product, you can select the ‘Variable product’ option from the drop-down. To be able to create different variations, you will have to set up attributes and define values to each of them. You can use different attributes and values to create variations. After that, you can manually create available variations or create all possible variations in one go. You can update individual details for each variation, after all required variations are created.\n\n&nbsp;","[elementor-template id=""391""]",,,taxable,,1,,,0,0,,,,,1,,,,"Women Dress","dress, fashion, theme, women, woocommerce",,"https://juliette.novaworks.net/wp-content/uploads/2021/04/dress-2-scaled.jpg, https://juliette.novaworks.net/wp-content/uploads/2021/04/dress-1-scaled.jpg, https://juliette.novaworks.net/wp-content/uploads/2021/04/dress-2-scaled.jpg, https://juliette.novaworks.net/wp-content/uploads/2021/04/dress-3-1-scaled.jpg, https://juliette.novaworks.net/wp-content/uploads/2021/04/dress-3-scaled.jpg, https://juliette.novaworks.net/wp-content/uploads/2021/04/dress-4-1-scaled.jpg",,,,,,,,,29,Color,"Black, Blue, White, Yellow",1,1,Black,Size,"Large, Medium, Small",1,1,Large,0,
1598,variable,,"Women's A-Line Off the Shoulder Maxi Long Prom Dress",1,0,visible,"This product type lets you add variations to the same product to create a complex, variable product. Each variation of the product has its own price, SKU, available stock, etc. eg: A shirt or t-shirt with different sizes and different colors.\n\nWhile creating the product, you can select the ‘Variable product’ option from the drop-down. To be able to create different variations, you will have to set up attributes and define values to each of them. You can use different attributes and values to create variations. After that, you can manually create available variations or create all possible variations in one go. You can update individual details for each variation, after all required variations are created.\n\n&nbsp;","[elementor-template id=""391""]",,,taxable,,1,,,0,0,,,,,1,,,,"Women Dress","dress, fashion, theme, women, woocommerce",,"https://juliette.novaworks.net/wp-content/uploads/2021/04/dress-3-scaled.jpg, https://juliette.novaworks.net/wp-content/uploads/2021/04/dress-1-scaled.jpg, https://juliette.novaworks.net/wp-content/uploads/2021/04/dress-2-scaled.jpg, https://juliette.novaworks.net/wp-content/uploads/2021/04/dress-3-1-scaled.jpg, https://juliette.novaworks.net/wp-content/uploads/2021/04/dress-3-scaled.jpg, https://juliette.novaworks.net/wp-content/uploads/2021/04/dress-4-1-scaled.jpg",,,,,,,,,28,Color,"Black, Blue, White, Yellow",1,1,Black,Size,"Large, Medium, Small",1,1,Large,0,
1611,variable,,"Plus Size Half Sleeve Evening Dress For Weddings",1,0,visible,"This product type lets you add variations to the same product to create a complex, variable product. Each variation of the product has its own price, SKU, available stock, etc. eg: A shirt or t-shirt with different sizes and different colors.\n\nWhile creating the product, you can select the ‘Variable product’ option from the drop-down. To be able to create different variations, you will have to set up attributes and define values to each of them. You can use different attributes and values to create variations. After that, you can manually create available variations or create all possible variations in one go. You can update individual details for each variation, after all required variations are created.\n\n&nbsp;","[elementor-template id=""391""]",,,taxable,,1,,,0,0,,,,,1,,,,"Women Dress","dress, fashion, theme, women, woocommerce",,"https://juliette.novaworks.net/wp-content/uploads/2021/04/dress-4-scaled.jpg, https://juliette.novaworks.net/wp-content/uploads/2021/04/dress-4-1-scaled.jpg, https://juliette.novaworks.net/wp-content/uploads/2021/04/dress-1-scaled.jpg, https://juliette.novaworks.net/wp-content/uploads/2021/04/dress-2-scaled.jpg, https://juliette.novaworks.net/wp-content/uploads/2021/04/dress-3-1-scaled.jpg, https://juliette.novaworks.net/wp-content/uploads/2021/04/dress-3-scaled.jpg",,,,,,,,,27,Color,"Black, Blue, White, Yellow",1,1,Black,Size,"Large, Medium, Small",1,1,Large,0,
1624,variable,,"Fancy V Neck Sleeveless High-Low Prom Dress for Women",1,0,visible,"This product type lets you add variations to the same product to create a complex, variable product. Each variation of the product has its own price, SKU, available stock, etc. eg: A shirt or t-shirt with different sizes and different colors.\n\nWhile creating the product, you can select the ‘Variable product’ option from the drop-down. To be able to create different variations, you will have to set up attributes and define values to each of them. You can use different attributes and values to create variations. After that, you can manually create available variations or create all possible variations in one go. You can update individual details for each variation, after all required variations are created.\n\n&nbsp;","[elementor-template id=""391""]",,,taxable,,1,,,0,0,,,,,1,,,,"Women Dress","dress, fashion, theme, women, woocommerce",,"https://juliette.novaworks.net/wp-content/uploads/2021/04/dress-5-scaled.jpg, https://juliette.novaworks.net/wp-content/uploads/2021/04/dress-5-1-scaled.jpg, https://juliette.novaworks.net/wp-content/uploads/2021/04/dress-4-1-scaled.jpg, https://juliette.novaworks.net/wp-content/uploads/2021/04/dress-1-scaled.jpg, https://juliette.novaworks.net/wp-content/uploads/2021/04/dress-2-scaled.jpg, https://juliette.novaworks.net/wp-content/uploads/2021/04/dress-3-1-scaled.jpg",,,,,,,,,26,Color,"Black, Blue, White, Yellow",1,1,Black,Size,"Large, Medium, Small",1,1,Large,0,
1637,variable,,"A-Line Maxi Long Prom Dresses for Women with Mesh",1,0,visible,"This product type lets you add variations to the same product to create a complex, variable product. Each variation of the product has its own price, SKU, available stock, etc. eg: A shirt or t-shirt with different sizes and different colors.\n\nWhile creating the product, you can select the ‘Variable product’ option from the drop-down. To be able to create different variations, you will have to set up attributes and define values to each of them. You can use different attributes and values to create variations. After that, you can manually create available variations or create all possible variations in one go. You can update individual details for each variation, after all required variations are created.\n\n&nbsp;","[elementor-template id=""391""]",,,taxable,,1,,,0,0,,,,,1,,,,"Women Dress","dress, fashion, theme, women, woocommerce",,"https://juliette.novaworks.net/wp-content/uploads/2021/04/dress-6-scaled.jpg, https://juliette.novaworks.net/wp-content/uploads/2021/04/dress-6-1-scaled.jpg, https://juliette.novaworks.net/wp-content/uploads/2021/04/dress-5-1-scaled.jpg, https://juliette.novaworks.net/wp-content/uploads/2021/04/dress-4-1-scaled.jpg, https://juliette.novaworks.net/wp-content/uploads/2021/04/dress-1-scaled.jpg, https://juliette.novaworks.net/wp-content/uploads/2021/04/dress-2-scaled.jpg",,,,,,,,,25,Color,"Black, Blue, White, Yellow",1,1,Black,Size,"Large, Medium, Small",1,1,Large,0,
1650,variable,,"Lace Stitching Satin Maxi Prom Dresses with 3/4 Sleeves",1,0,visible,"This product type lets you add variations to the same product to create a complex, variable product. Each variation of the product has its own price, SKU, available stock, etc. eg: A shirt or t-shirt with different sizes and different colors.\n\nWhile creating the product, you can select the ‘Variable product’ option from the drop-down. To be able to create different variations, you will have to set up attributes and define values to each of them. You can use different attributes and values to create variations. After that, you can manually create available variations or create all possible variations in one go. You can update individual details for each variation, after all required variations are created.\n\n&nbsp;","[elementor-template id=""391""]",,,taxable,,1,,,0,0,,,,,1,,,,"Women Dress","dress, fashion, theme, women, woocommerce",,"https://juliette.novaworks.net/wp-content/uploads/2021/04/dress-7.jpg, https://juliette.novaworks.net/wp-content/uploads/2021/04/dress-7-1-scaled.jpg, https://juliette.novaworks.net/wp-content/uploads/2021/04/dress-6-1-scaled.jpg, https://juliette.novaworks.net/wp-content/uploads/2021/04/dress-5-1-scaled.jpg, https://juliette.novaworks.net/wp-content/uploads/2021/04/dress-4-1-scaled.jpg, https://juliette.novaworks.net/wp-content/uploads/2021/04/dress-1-scaled.jpg",,,,,,,,,24,Color,"Black, Blue, White, Yellow",1,1,Black,Size,"Large, Medium, Small",1,1,Large,0,
1663,variable,,"Gorgeous Deep Double V Neck Satin Prom Dress with Cap Sleeves",1,0,visible,"This product type lets you add variations to the same product to create a complex, variable product. Each variation of the product has its own price, SKU, available stock, etc. eg: A shirt or t-shirt with different sizes and different colors.\n\nWhile creating the product, you can select the ‘Variable product’ option from the drop-down. To be able to create different variations, you will have to set up attributes and define values to each of them. You can use different attributes and values to create variations. After that, you can manually create available variations or create all possible variations in one go. You can update individual details for each variation, after all required variations are created.\n\n&nbsp;","[elementor-template id=""391""]",,,taxable,,1,,,0,0,,,,,1,,,,"Women Dress","dress, fashion, theme, women, woocommerce",,"https://juliette.novaworks.net/wp-content/uploads/2021/04/dress-8.jpg, https://juliette.novaworks.net/wp-content/uploads/2021/04/dress-8-1.jpg, https://juliette.novaworks.net/wp-content/uploads/2021/04/dress-7-1-scaled.jpg, https://juliette.novaworks.net/wp-content/uploads/2021/04/dress-6-1-scaled.jpg, https://juliette.novaworks.net/wp-content/uploads/2021/04/dress-5-1-scaled.jpg, https://juliette.novaworks.net/wp-content/uploads/2021/04/dress-4-1-scaled.jpg",,,,,,,,,23,Color,"Black, Blue, White, Yellow",1,1,Black,Size,"Large, Medium, Small",1,1,Large,0,
1559,variation,,"Plus Size Sequin Evening Dress with Side Split - Black, Medium",1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,99.99,,,,,,,id:1557,,,,,,2,Color,Black,,1,,Size,Medium,,1,,,
1560,variation,,"Plus Size Sequin Evening Dress with Side Split - Black, Small",1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,99.99,,,,,,,id:1557,,,,,,3,Color,Black,,1,,Size,Small,,1,,,
1561,variation,,"Plus Size Sequin Evening Dress with Side Split - Blue, Large",1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,99.99,,,,,,,id:1557,,,,,,4,Color,Blue,,1,,Size,Large,,1,,,
1562,variation,,"Plus Size Sequin Evening Dress with Side Split - Blue, Medium",1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,99.99,,,,,,,id:1557,,,,,,5,Color,Blue,,1,,Size,Medium,,1,,,
1563,variation,,"Plus Size Sequin Evening Dress with Side Split - Blue, Small",1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,99.99,,,,,,,id:1557,,,,,,6,Color,Blue,,1,,Size,Small,,1,,,
1564,variation,,"Plus Size Sequin Evening Dress with Side Split - White, Large",1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,99.99,,,,,,,id:1557,,,,,,7,Color,White,,1,,Size,Large,,1,,,
1565,variation,,"Plus Size Sequin Evening Dress with Side Split - White, Medium",1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,99.99,,,,,,,id:1557,,,,,,8,Color,White,,1,,Size,Medium,,1,,,
1566,variation,,"Plus Size Sequin Evening Dress with Side Split - White, Small",1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,99.99,,,,,,,id:1557,,,,,,9,Color,White,,1,,Size,Small,,1,,,
1567,variation,,"Plus Size Sequin Evening Dress with Side Split - Yellow, Large",1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,99.99,,,,,,,id:1557,,,,,,10,Color,Yellow,,1,,Size,Large,,1,,,
1568,variation,,"Plus Size Sequin Evening Dress with Side Split - Yellow, Medium",1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,99.99,,,,,,,id:1557,,,,,,11,Color,Yellow,,1,,Size,Medium,,1,,,
1569,variation,,"Plus Size Sequin Evening Dress with Side Split - Yellow, Small",1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,99.99,,,,,,,id:1557,,,,,,12,Color,Yellow,,1,,Size,Small,,1,,,
1558,variation,,"Plus Size Sequin Evening Dress with Side Split - Black, Large",1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,99.99,,,,,,,id:1557,,,,,,1,Color,Black,,1,,Size,Large,,1,,,
1588,variation,,"Women's V Neck Multi Color Irregular Hem Prom Dress - Black, Small",1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,99.99,,,,,,,id:1585,,,,,,3,Color,Black,,1,,Size,Small,,1,,,
1589,variation,,"Women's V Neck Multi Color Irregular Hem Prom Dress - Blue, Large",1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,99.99,,,,,,,id:1585,,,,,,4,Color,Blue,,1,,Size,Large,,1,,,
1590,variation,,"Women's V Neck Multi Color Irregular Hem Prom Dress - Blue, Medium",1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,99.99,,,,,,,id:1585,,,,,,5,Color,Blue,,1,,Size,Medium,,1,,,
